dataset,rel_id,rel_name,c_r
ICEWS14,57,"Return, release person(s)",0.187596
ICEWS14,58,Discuss by telephone,0.178587
ICEWS14,59,Demonstrate for leadership change,0.207456
ICEWS14,60,Impose restrictions on political freedoms,0.174381
ICEWS14,61,Reduce relations,0.198645
ICEWS14,62,"Investigate crime, corruption",0.11529
ICEWS14,63,Engage in material cooperation,0.201142
ICEWS14,64,Appeal to others to meet or negotiate,0.204754
ICEWS14,65,Provide humanitarian aid,0.188859
ICEWS14,66,Use tactics of violent repression,0.154907
ICEWS14,67,Occupy territory,0.180933
ICEWS14,68,Demand humanitarian aid,0.042598
ICEWS14,69,Threaten non-force,0.207399
ICEWS14,70,Express intent to cooperate economically,0.139388
ICEWS14,71,"Conduct suicide, car, or other non-military bombing",0.12131
ICEWS14,72,Demand diplomatic cooperation (such as policy support),0.168176
ICEWS14,73,"Demand meeting, negotiation",0.202474
ICEWS14,74,Deny responsibility,0.190864
ICEWS14,75,"Express intent to change institutions, regime",0.128088
ICEWS14,76,Give ultimatum,0.12007
ICEWS14,77,Appeal for judicial cooperation,0.198492
ICEWS14,78,Rally support on behalf of,0.164503
ICEWS14,79,"Obstruct passage, block",0.168821
ICEWS14,80,Share intelligence or information,0.10807
ICEWS14,81,Expel or deport individuals,0.188345
ICEWS14,82,Confiscate property,0.130731
ICEWS14,83,Accuse of aggression,0.197025
ICEWS14,84,Physically assault,0.164919
ICEWS14,85,Retreat or surrender militarily,0.137855
ICEWS14,86,Veto,0.188507
ICEWS14,87,Kill by physical assault,0.198032
ICEWS14,88,Assassinate,0.12747
ICEWS14,89,"Appeal for change in institutions, regime",0.107292
ICEWS14,90,Forgive,0.214745
ICEWS14,91,"Reject proposal to meet, discuss, or negotiate",0.19389
ICEWS14,92,Express intent to provide humanitarian aid,0.119522
ICEWS14,93,Appeal for release of persons or property,0.141527
ICEWS14,94,Acknowledge or claim responsibility,0.117168
ICEWS14,95,"Ease economic sanctions, boycott, embargo",0.124476
ICEWS14,96,Express intent to cooperate militarily,0.119998
ICEWS14,97,Cooperate economically,0.198925
ICEWS14,98,Express intent to provide economic aid,0.223981
ICEWS14,99,Mobilize or increase police power,0.188727
ICEWS14,100,Employ aerial weapons,0.141793
ICEWS14,101,Accuse of human rights abuses,0.191452
ICEWS14,102,Conduct strike or boycott,0.192716
ICEWS14,103,Appeal for policy change,0.227876
ICEWS14,104,Demonstrate military or police power,0.122362
ICEWS14,105,Provide military aid,0.220566
ICEWS14,106,"Reject plan, agreement to settle dispute",0.042598
ICEWS14,107,Yield,0.205961
ICEWS14,108,Appeal for easing of administrative sanctions,0.197605
ICEWS14,109,Mediate,0.192033
ICEWS14,110,Apologize,0.190417
ICEWS14,111,Express intent to release persons or property,0.179696
ICEWS14,112,Express intent to de-escalate military engagement,0.108736
ICEWS14,113,Accede to demands for rights,0.210945
ICEWS14,114,Demand economic aid,0.119578
ICEWS14,115,Impose state of emergency or martial law,0.203186
ICEWS14,116,Receive deployment of peacekeepers,0.185911
ICEWS14,117,Demand de-escalation of military engagement,0.119114
ICEWS14,118,"Declare truce, ceasefire",0.151791
ICEWS14,119,Reduce or stop humanitarian assistance,0.12274
ICEWS14,120,Appeal to others to settle dispute,0.145859
ICEWS14,121,Reject request for military aid,0.17323
ICEWS14,122,"Threaten with political dissent, protest",0.129484
ICEWS14,123,Appeal to engage in or accept mediation,0.235718
ICEWS14,124,"Express intent to ease economic sanctions, boycott, or embargo",0.188118
ICEWS14,125,Coerce,0.118572
ICEWS14,126,fight with artillery and tanks,0.190214
ICEWS14,127,Express intent to cooperate on intelligence,0.246246
ICEWS14,128,Express intent to settle dispute,0.213827
ICEWS14,129,Express accord,0.172514
ICEWS14,130,Decline comment,0.18851
ICEWS14,131,Rally opposition against,0.174579
ICEWS14,132,Halt negotiations,0.114896
ICEWS14,133,Demand that target yields,0.183538
ICEWS14,134,Appeal for military aid,0.161107
ICEWS14,135,Threaten with military force,0.183267
ICEWS14,136,Express intent to provide military protection or peacekeeping,0.188736
ICEWS14,137,"Threaten with sanctions, boycott, embargo",0.181037
ICEWS14,138,Express intent to provide military aid,0.210191
ICEWS14,139,Demand change in leadership,0.201788
ICEWS14,140,Appeal for economic aid,0.110346
ICEWS14,141,Refuse to de-escalate military engagement,0.193885
ICEWS14,142,Refuse to release persons or property,0.298045
ICEWS14,143,Increase police alert status,0.18991
ICEWS14,144,"Return, release property",0.145105
ICEWS14,145,Ease military blockade,0.229064
ICEWS14,146,Appeal for material cooperation,0.17479
ICEWS14,147,Express intent to cooperate on judicial matters,0.134236
ICEWS14,148,Appeal for economic cooperation,0.149601
ICEWS14,149,Demand settling of dispute,0.140484
ICEWS14,150,"Accuse of crime, corruption",0.196845
ICEWS14,151,Defend verbally,0.197529
ICEWS14,152,Provide military protection or peacekeeping,0.165603
ICEWS14,153,"Accuse of espionage, treason",0.120731
ICEWS14,154,Seize or damage property,0.185736
ICEWS14,155,Accede to requests or demands for political reform,0.214178
ICEWS14,156,"Appeal for easing of economic sanctions, boycott, or embargo",0.216874
ICEWS14,157,Threaten to reduce or stop aid,0.222641
ICEWS14,158,Engage in judicial cooperation,0.218711
ICEWS14,159,Appeal to yield,0.214739
ICEWS14,160,Demand military aid,0.218274
ICEWS14,161,Refuse to ease administrative sanctions,0.190475
ICEWS14,162,Demand release of persons or property,0.201709
ICEWS14,163,Accede to demands for change in leadership,0.133587
ICEWS14,164,Appeal for humanitarian aid,0.144327
ICEWS14,165,Threaten with repression,0.157664
ICEWS14,166,"Demand change in institutions, regime",0.156132
ICEWS14,167,Demonstrate for policy change,0.151138
ICEWS14,168,Appeal for aid,0.1929
ICEWS14,169,Appeal for rights,0.246018
ICEWS14,170,Engage in violent protest for rights,0.169639
ICEWS14,171,Express intent to mediate,0.199237
ICEWS14,172,Expel or withdraw peacekeepers,0.184925
ICEWS14,173,Appeal for military protection or peacekeeping,0.184132
ICEWS14,174,Engage in mass killings,0.209815
ICEWS14,175,Accuse of war crimes,0.143734
ICEWS14,176,Reject military cooperation,0.182251
ICEWS14,177,Threaten to halt negotiations,0.209508
ICEWS14,178,Ban political parties or politicians,0.187748
ICEWS14,179,Express intent to change leadership,0.042598
ICEWS14,180,Demand material cooperation,0.166059
ICEWS14,181,Express intent to institute political reform,0.174689
ICEWS14,182,Demand easing of administrative sanctions,0.162326
ICEWS14,183,Express intent to engage in material cooperation,0.166725
ICEWS14,184,Reduce or stop economic assistance,0.122698
ICEWS14,185,Express intent to ease administrative sanctions,0.190639
ICEWS14,186,Demand intelligence cooperation,0.164713
ICEWS14,187,Ease curfew,0.176097
ICEWS14,188,Receive inspectors,0.195547
ICEWS14,189,Demand rights,0.187182
ICEWS14,190,Demand political reform,0.18417
ICEWS14,191,Demand judicial cooperation,0.197171
ICEWS14,192,Engage in political dissent,0.127078
ICEWS14,193,Detonate nuclear weapons,0.11639
ICEWS14,194,Violate ceasefire,0.246939
ICEWS14,195,Express intent to accept mediation,0.117502
ICEWS14,196,"Refuse to ease economic sanctions, boycott, or embargo",0.178843
ICEWS14,197,Demand mediation,0.189152
ICEWS14,198,Obstruct passage to demand leadership change,0.042598
ICEWS14,199,Express intent to yield,0.042598
ICEWS14,200,Conduct hunger strike,0.122797
ICEWS14,201,Threaten to halt mediation,0.147882
ICEWS14,202,Reject judicial cooperation,0.197233
ICEWS14,203,Reduce or stop military assistance,0.187364
ICEWS14,204,Ease political dissent,0.127544
ICEWS14,205,Threaten to reduce or break relations,0.20071
ICEWS14,206,Demobilize armed forces,0.207642
ICEWS14,207,Use as human shield,0.215893
ICEWS14,208,Demand policy change,0.193443
ICEWS14,209,"Accede to demands for change in institutions, regime",0.204964
ICEWS14,210,Reject economic cooperation,0.141115
ICEWS14,211,Reject material cooperation,0.042598
ICEWS14,212,Halt mediation,0.160468
ICEWS14,213,Accede to demands for change in policy,0.159069
ICEWS14,214,Investigate war crimes,0.042598
ICEWS14,215,Threaten with administrative sanctions,0.165472
ICEWS14,216,Reduce or stop material aid,0.191185
ICEWS14,217,Destroy property,0.14977
ICEWS14,218,Express intent to change policy,0.163684
ICEWS14,219,"Use chemical, biological, or radiological weapons",0.17522
ICEWS14,220,Reject request for military protection or peacekeeping,0.149662
ICEWS14,221,Demand material aid,0.186694
ICEWS14,222,Engage in mass expulsion,0.192708
ICEWS14,223,Investigate human rights abuses,0.177996
ICEWS14,224,Carry out car bombing,0.197107
ICEWS14,225,Expel or withdraw,0.155893
ICEWS14,226,Ease state of emergency or martial law,0.199706
ICEWS14,227,Carry out roadside bombing,0.19549
ICEWS14,228,Appeal for target to allow international involvement (non-mediation),0.166337
ICEWS14,229,Reject request for change in leadership,0.182223
ICEWS18,0,Criticize or denounce,0.146432
ICEWS18,1,Express intent to meet or negotiate,0.123942
ICEWS18,2,Consult,0.151597
ICEWS18,3,Make an appeal or request,0.109425
ICEWS18,4,"Abduct, hijack, or take hostage",0.130945
ICEWS18,5,Praise or endorse,0.140977
ICEWS18,6,Engage in negotiation,0.143712
ICEWS18,7,Use unconventional violence,0.126161
ICEWS18,8,Make statement,0.144845
ICEWS18,9,"Arrest, detain, or charge with legal action",0.157991
ICEWS18,10,Use conventional military force,0.155805
ICEWS18,11,Complain officially,0.162776
ICEWS18,12,Impose administrative sanctions,0.139046
ICEWS18,13,Express intent to cooperate,0.15332
ICEWS18,14,Make a visit,0.146287
ICEWS18,15,Appeal for de-escalation of military engagement,0.164169
ICEWS18,16,Sign formal agreement,0.152076
ICEWS18,17,Attempt to assassinate,0.137764
ICEWS18,18,Host a visit,0.140661
ICEWS18,19,Increase military alert status,0.1475
ICEWS18,20,"Impose embargo, boycott, or sanctions",0.151825
ICEWS18,21,Provide economic aid,0.15352
ICEWS18,22,Demonstrate or rally,0.140602
ICEWS18,23,Express intent to engage in diplomatic cooperation (such as policy support),0.175979
ICEWS18,24,Appeal for intelligence,0.160328
ICEWS18,25,Demand,0.149742
ICEWS18,26,Carry out suicide bombing,0.148745
ICEWS18,27,Threaten,0.139748
ICEWS18,28,Express intent to provide material aid,0.148288
ICEWS18,29,Grant diplomatic recognition,0.122745
ICEWS18,30,Meet at a 'third' location,0.116657
ICEWS18,31,Accuse,0.143771
ICEWS18,32,Investigate,0.182774
ICEWS18,33,Reject,0.155063
ICEWS18,34,Appeal for diplomatic cooperation (such as policy support),0.151156
ICEWS18,35,Engage in symbolic act,0.127748
ICEWS18,36,"Defy norms, law",0.146874
ICEWS18,37,Consider policy option,0.142768
ICEWS18,38,Provide aid,0.119851
ICEWS18,39,Sexually assault,0.142599
ICEWS18,40,Make empathetic comment,0.149369
ICEWS18,41,Bring lawsuit against,0.14931
ICEWS18,42,"Impose blockade, restrict movement",0.183702
ICEWS18,43,Make pessimistic comment,0.155869
ICEWS18,44,"Protest violently, riot",0.159058
ICEWS18,45,Reduce or break diplomatic relations,0.120224
ICEWS18,46,Grant asylum,0.152301
ICEWS18,47,Engage in diplomatic cooperation,0.139373
ICEWS18,48,Make optimistic comment,0.152355
ICEWS18,49,Torture,0.114415
ICEWS18,50,Refuse to yield,0.14272
ICEWS18,51,Appeal for change in leadership,0.136648
ICEWS18,52,Cooperate militarily,0.162794
ICEWS18,53,Mobilize or increase armed forces,0.031674
ICEWS18,54,fight with small arms and light weapons,0.122942
ICEWS18,55,Ease administrative sanctions,0.164752
ICEWS18,56,Appeal for political reform,0.135332
ICEWS18,57,"Return, release person(s)",0.157668
ICEWS18,58,Discuss by telephone,0.134449
ICEWS18,59,Demonstrate for leadership change,0.150827
ICEWS18,60,Impose restrictions on political freedoms,0.142649
ICEWS18,61,Reduce relations,0.138712
ICEWS18,62,"Investigate crime, corruption",0.152498
ICEWS18,63,Engage in material cooperation,0.145236
ICEWS18,64,Appeal to others to meet or negotiate,0.127569
ICEWS18,65,Provide humanitarian aid,0.142881
ICEWS18,66,Use tactics of violent repression,0.128476
ICEWS18,67,Occupy territory,0.160195
ICEWS18,68,Demand humanitarian aid,0.150857
ICEWS18,69,Threaten non-force,0.15152
ICEWS18,70,Express intent to cooperate economically,0.141521
ICEWS18,71,"Conduct suicide, car, or other non-military bombing",0.031674
ICEWS18,72,Demand diplomatic cooperation (such as policy support),0.031674
ICEWS18,73,"Demand meeting, negotiation",0.158946
ICEWS18,74,Deny responsibility,0.11964
ICEWS18,75,"Express intent to change institutions, regime",0.111226
ICEWS18,76,Give ultimatum,0.144918
ICEWS18,77,Appeal for judicial cooperation,0.147803
ICEWS18,78,Rally support on behalf of,0.152692
ICEWS18,79,"Obstruct passage, block",0.146915
ICEWS18,80,Share intelligence or information,0.150357
ICEWS18,81,Expel or deport individuals,0.148432
ICEWS18,82,Confiscate property,0.094008
ICEWS18,83,Accuse of aggression,0.15939
ICEWS18,84,Physically assault,0.155841
ICEWS18,85,Retreat or surrender militarily,0.154272
ICEWS18,86,Veto,0.208931
ICEWS18,87,Kill by physical assault,0.124449
ICEWS18,88,Assassinate,0.135303
ICEWS18,89,"Appeal for change in institutions, regime",0.118186
ICEWS18,90,Forgive,0.158569
ICEWS18,91,"Reject proposal to meet, discuss, or negotiate",0.156757
ICEWS18,92,Express intent to provide humanitarian aid,0.139735
ICEWS18,93,Appeal for release of persons or property,0.148199
ICEWS18,94,Acknowledge or claim responsibility,0.152078
ICEWS18,95,"Ease economic sanctions, boycott, embargo",0.15286
ICEWS18,96,Express intent to cooperate militarily,0.117986
ICEWS18,97,Cooperate economically,0.184814
ICEWS18,98,Express intent to provide economic aid,0.146483
ICEWS18,99,Mobilize or increase police power,0.134118
ICEWS18,100,Employ aerial weapons,0.031674
ICEWS18,101,Accuse of human rights abuses,0.160764
ICEWS18,102,Conduct strike or boycott,0.121603
ICEWS18,103,Appeal for policy change,0.162087
ICEWS18,104,Demonstrate military or police power,0.161047
ICEWS18,105,Provide military aid,0.10753
ICEWS18,106,"Reject plan, agreement to settle dispute",0.139494
ICEWS18,107,Yield,0.165527
ICEWS18,108,Appeal for easing of administrative sanctions,0.136468
ICEWS18,109,Mediate,0.125126
ICEWS18,110,Apologize,0.160881
ICEWS18,111,Express intent to release persons or property,0.157683
ICEWS18,112,Express intent to de-escalate military engagement,0.156162
ICEWS18,113,Accede to demands for rights,0.153301
ICEWS18,114,Demand economic aid,0.17926
ICEWS18,115,Impose state of emergency or martial law,0.187789
ICEWS18,116,Receive deployment of peacekeepers,0.089876
ICEWS18,117,Demand de-escalation of military engagement,0.153277
ICEWS18,118,"Declare truce, ceasefire",0.176933
ICEWS18,119,Reduce or stop humanitarian assistance,0.164303
ICEWS18,120,Appeal to others to settle dispute,0.189926
ICEWS18,121,Reject request for military aid,0.179373
ICEWS18,122,"Threaten with political dissent, protest",0.125865
ICEWS18,123,Appeal to engage in or accept mediation,0.116
ICEWS18,124,"Express intent to ease economic sanctions, boycott, or embargo",0.152119
ICEWS18,125,Coerce,0.12306
ICEWS18,126,fight with artillery and tanks,0.138025
ICEWS18,127,Express intent to cooperate on intelligence,0.123649
ICEWS18,128,Express intent to settle dispute,0.175074
ICEWS18,129,Express accord,0.127504
ICEWS18,130,Decline comment,0.142112
ICEWS18,131,Rally opposition against,0.127087
ICEWS18,132,Halt negotiations,0.144659
ICEWS18,133,Demand that target yields,0.122505
ICEWS18,134,Appeal for military aid,0.144147
ICEWS18,135,Threaten with military force,0.160929
ICEWS18,136,Express intent to provide military protection or peacekeeping,0.120402
ICEWS18,137,"Threaten with sanctions, boycott, embargo",0.149467
ICEWS18,138,Express intent to provide military aid,0.147848
ICEWS18,139,Demand change in leadership,0.137343
ICEWS18,140,Appeal for economic aid,0.129829
ICEWS18,141,Refuse to de-escalate military engagement,0.161295
ICEWS18,142,Refuse to release persons or property,0.141775
ICEWS18,143,Increase police alert status,0.122695
ICEWS18,144,"Return, release property",0.14494
ICEWS18,145,Ease military blockade,0.151153
ICEWS18,146,Appeal for material cooperation,0.160109
ICEWS18,147,Express intent to cooperate on judicial matters,0.142975
ICEWS18,148,Appeal for economic cooperation,0.1463
ICEWS18,149,Demand settling of dispute,0.176273
ICEWS18,150,"Accuse of crime, corruption",0.149628
ICEWS18,151,Defend verbally,0.102923
ICEWS18,152,Provide military protection or peacekeeping,0.144491
ICEWS18,153,"Accuse of espionage, treason",0.337434
ICEWS18,154,Seize or damage property,0.137373
ICEWS18,155,Accede to requests or demands for political reform,0.127897
ICEWS18,156,"Appeal for easing of economic sanctions, boycott, or embargo",0.145701
ICEWS18,157,Threaten to reduce or stop aid,0.209736
ICEWS18,158,Engage in judicial cooperation,0.158961
ICEWS18,159,Appeal to yield,0.169255
ICEWS18,160,Demand military aid,0.123552
ICEWS18,161,Refuse to ease administrative sanctions,0.111938
ICEWS18,162,Demand release of persons or property,0.151899
ICEWS18,163,Accede to demands for change in leadership,0.147739
ICEWS18,164,Appeal for humanitarian aid,0.147923
ICEWS18,165,Threaten with repression,0.081076
ICEWS18,166,"Demand change in institutions, regime",0.133006
ICEWS18,167,Demonstrate for policy change,0.142397
ICEWS18,168,Appeal for aid,0.129148
ICEWS18,169,Appeal for rights,0.139949
ICEWS18,170,Engage in violent protest for rights,0.146435
ICEWS18,171,Express intent to mediate,0.1454
ICEWS18,172,Expel or withdraw peacekeepers,0.143154
ICEWS18,173,Appeal for military protection or peacekeeping,0.14696
ICEWS18,174,Engage in mass killings,0.139103
ICEWS18,175,Accuse of war crimes,0.176045
ICEWS18,176,Reject military cooperation,0.112894
ICEWS18,177,Threaten to halt negotiations,0.135686
ICEWS18,178,Ban political parties or politicians,0.149084
ICEWS18,179,Express intent to change leadership,0.127823
ICEWS18,180,Demand material cooperation,0.159004
ICEWS18,181,Express intent to institute political reform,0.122401
ICEWS18,182,Demand easing of administrative sanctions,0.136811
ICEWS18,183,Express intent to engage in material cooperation,0.145018
ICEWS18,184,Reduce or stop economic assistance,0.145667
ICEWS18,185,Express intent to ease administrative sanctions,0.1487
ICEWS18,186,Demand intelligence cooperation,0.149224
ICEWS18,187,Ease curfew,0.139227
ICEWS18,188,Receive inspectors,0.173376
ICEWS18,189,Demand rights,0.155334
ICEWS18,190,Demand political reform,0.140084
ICEWS18,191,Demand judicial cooperation,0.158418
ICEWS18,192,Engage in political dissent,0.203193
ICEWS18,193,Detonate nuclear weapons,0.204099
ICEWS18,194,Violate ceasefire,0.127304
ICEWS18,195,Express intent to accept mediation,0.150995
ICEWS18,196,"Refuse to ease economic sanctions, boycott, or embargo",0.135046
ICEWS18,197,Demand mediation,0.166472
ICEWS18,198,Obstruct passage to demand leadership change,0.156385
ICEWS18,199,Express intent to yield,0.145093
ICEWS18,200,Conduct hunger strike,0.183808
ICEWS18,201,Threaten to halt mediation,0.16372
ICEWS18,202,Reject judicial cooperation,0.145772
ICEWS18,203,Reduce or stop military assistance,0.195117
ICEWS18,204,Ease political dissent,0.124959
ICEWS18,205,Threaten to reduce or break relations,0.14582
ICEWS18,206,Demobilize armed forces,0.148833
ICEWS18,207,Use as human shield,0.147044
ICEWS18,208,Demand policy change,0.12347
ICEWS18,209,"Accede to demands for change in institutions, regime",0.13158
ICEWS18,210,Reject economic cooperation,0.158419
ICEWS18,211,Reject material cooperation,0.138623
ICEWS18,212,Halt mediation,0.079162
ICEWS18,213,Accede to demands for change in policy,0.151344
ICEWS18,214,Investigate war crimes,0.155653
ICEWS18,215,Threaten with administrative sanctions,0.130438
ICEWS18,216,Reduce or stop material aid,0.145215
ICEWS18,217,Destroy property,0.104138
ICEWS18,218,Express intent to change policy,0.082814
ICEWS18,219,"Use chemical, biological, or radiological weapons",0.141672
ICEWS18,220,Reject request for military protection or peacekeeping,0.086424
ICEWS18,221,Demand material aid,0.121877
ICEWS18,222,Engage in mass expulsion,0.133098
ICEWS18,223,Investigate human rights abuses,0.145644
ICEWS18,224,Carry out car bombing,0.152765
ICEWS18,225,Expel or withdraw,0.124124
ICEWS18,226,Ease state of emergency or martial law,0.145006
ICEWS18,227,Carry out roadside bombing,0.150927
ICEWS18,228,Appeal for target to allow international involvement (non-mediation),0.138204
ICEWS18,229,Reject request for change in leadership,0.142786
ICEWS18,230,rel_230,0.168064
ICEWS18,231,rel_231,0.150494
ICEWS18,232,rel_232,0.031674
ICEWS18,233,rel_233,0.145987
ICEWS18,234,rel_234,0.10927
ICEWS18,235,rel_235,0.137936
ICEWS18,236,rel_236,0.158286
ICEWS18,237,rel_237,0.143718
ICEWS18,238,rel_238,0.145766
ICEWS18,239,rel_239,0.120002
ICEWS18,240,rel_240,0.137033
ICEWS18,241,rel_241,0.165869
ICEWS18,242,rel_242,0.126372
ICEWS18,243,rel_243,0.150042
ICEWS18,244,rel_244,0.123732
ICEWS18,245,rel_245,0.135249
ICEWS18,246,rel_246,0.1427
ICEWS18,247,rel_247,0.134026
ICEWS18,248,rel_248,0.143348
ICEWS18,249,rel_249,0.107736
ICEWS18,250,rel_250,0.131054
ICEWS18,251,rel_251,0.155026
ICEWS18,252,rel_252,0.13846
ICEWS18,253,rel_253,0.130671
ICEWS18,254,rel_254,0.132854
ICEWS18,255,rel_255,0.165065
ICEWS05-15,0,Criticize or denounce,0.118038
ICEWS05-15,1,Express intent to meet or negotiate,0.077759
ICEWS05-15,2,Consult,0.092099
ICEWS05-15,3,Make an appeal or request,0.072945
ICEWS05-15,4,"Abduct, hijack, or take hostage",0.091043
ICEWS05-15,5,Praise or endorse,0.080046
ICEWS05-15,6,Engage in negotiation,0.113029
ICEWS05-15,7,Use unconventional violence,0.075997
ICEWS05-15,8,Make statement,0.099877
ICEWS05-15,9,"Arrest, detain, or charge with legal action",0.094193
ICEWS05-15,10,Use conventional military force,0.147152
ICEWS05-15,11,Complain officially,0.090625
ICEWS05-15,12,Impose administrative sanctions,0.103296
ICEWS05-15,13,Express intent to cooperate,0.069064
ICEWS05-15,14,Make a visit,0.106179
ICEWS05-15,15,Appeal for de-escalation of military engagement,0.092073
ICEWS05-15,16,Sign formal agreement,0.086337
ICEWS05-15,17,Attempt to assassinate,0.099807
ICEWS05-15,18,Host a visit,0.099596
ICEWS05-15,19,Increase military alert status,0.114221
ICEWS05-15,20,"Impose embargo, boycott, or sanctions",0.092856
ICEWS05-15,21,Provide economic aid,0.076342
ICEWS05-15,22,Demonstrate or rally,0.081872
ICEWS05-15,23,Express intent to engage in diplomatic cooperation (such as policy support),0.084067
ICEWS05-15,24,Appeal for intelligence,0.104129
ICEWS05-15,25,Demand,0.080756
ICEWS05-15,26,Carry out suicide bombing,0.100935
ICEWS05-15,27,Threaten,0.097381
ICEWS05-15,28,Express intent to provide material aid,0.092573
ICEWS05-15,29,Grant diplomatic recognition,0.080766
ICEWS05-15,30,Meet at a 'third' location,0.073231
ICEWS05-15,31,Accuse,0.074496
ICEWS05-15,32,Investigate,0.092899
ICEWS05-15,33,Reject,0.081631
ICEWS05-15,34,Appeal for diplomatic cooperation (such as policy support),0.096003
ICEWS05-15,35,Engage in symbolic act,0.079744
ICEWS05-15,36,"Defy norms, law",0.07723
ICEWS05-15,37,Consider policy option,0.092149
ICEWS05-15,38,Provide aid,0.099561
ICEWS05-15,39,Sexually assault,0.08146
ICEWS05-15,40,Make empathetic comment,0.085209
ICEWS05-15,41,Bring lawsuit against,0.11358
ICEWS05-15,42,"Impose blockade, restrict movement",0.105085
ICEWS05-15,43,Make pessimistic comment,0.090755
ICEWS05-15,44,"Protest violently, riot",0.094767
ICEWS05-15,45,Reduce or break diplomatic relations,0.107034
ICEWS05-15,46,Grant asylum,0.086996
ICEWS05-15,47,Engage in diplomatic cooperation,0.090657
ICEWS05-15,48,Make optimistic comment,0.10636
ICEWS05-15,49,Torture,0.103762
ICEWS05-15,50,Refuse to yield,0.085908
ICEWS05-15,51,Appeal for change in leadership,0.09949
ICEWS05-15,52,Cooperate militarily,0.120551
ICEWS05-15,53,Mobilize or increase armed forces,0.090214
ICEWS05-15,54,fight with small arms and light weapons,0.100835
ICEWS05-15,55,Ease administrative sanctions,0.109364
ICEWS05-15,56,Appeal for political reform,0.154843
ICEWS05-15,57,"Return, release person(s)",0.103589
ICEWS05-15,58,Discuss by telephone,0.116587
ICEWS05-15,59,Demonstrate for leadership change,0.121265
ICEWS05-15,60,Impose restrictions on political freedoms,0.08679
ICEWS05-15,61,Reduce relations,0.096606
ICEWS05-15,62,"Investigate crime, corruption",0.095665
ICEWS05-15,63,Engage in material cooperation,0.088292
ICEWS05-15,64,Appeal to others to meet or negotiate,0.116889
ICEWS05-15,65,Provide humanitarian aid,0.076534
ICEWS05-15,66,Use tactics of violent repression,0.094924
ICEWS05-15,67,Occupy territory,0.08872
ICEWS05-15,68,Demand humanitarian aid,0.094995
ICEWS05-15,69,Threaten non-force,0.079705
